               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.2392,              4.2279,              4.3591,           0.0048227,             0.27789,            0.003795,           0.0011482,               3.117,                 inf,               6.899,             0.07006,           0.0033267,           0.0033267
                   1,              3.2142,              4.0999,              4.3237,           0.0034542,             0.23526,           0.0031552,             0.00103,              3.0612,                 inf,              9.5486,            0.039994,           0.0065941,           0.0065941
                   2,              3.2256,              4.1092,              4.3213,           0.0011133,             0.17579,          0.00066152,           0.0002439,               2.976,                 inf,               69.06,           0.0098621,           0.0097955,           0.0097955
                   3,              3.2312,              3.9813,              4.2738,           0.0017733,                0.28,            0.001219,           0.0004304,              3.0417,                 inf,              17.507,            0.009703,            0.009703,            0.009703
                   4,              3.1818,              3.8919,              4.1868,             0.00344,             0.54316,            0.011593,           0.0029685,              3.0851,              4.1177,              4.3543,            0.009703,            0.009703,            0.009703
                   5,              3.0995,              3.7466,              4.0795,           0.0026633,             0.42053,           0.0023599,          0.00076356,               3.063,                 inf,              6.0039,            0.009604,            0.009604,            0.009604
                   6,              2.9854,              3.6106,              3.9023,            0.029621,             0.11737,            0.011147,           0.0035218,              2.7608,                 inf,                 4.4,            0.009505,            0.009505,            0.009505
                   7,               2.893,              3.5361,              3.6781,            0.010438,             0.37632,           0.0058901,           0.0020941,              2.7365,                 inf,              3.8677,            0.009406,            0.009406,            0.009406
                   8,              2.8312,               3.454,              3.4514,           0.0036488,             0.57474,            0.005631,           0.0019112,              2.7276,              13.403,              3.9631,            0.009307,            0.009307,            0.009307
                   9,               2.751,              3.3745,              3.3522,             0.02014,             0.30263,            0.010257,            0.003494,              2.7582,               41.78,              3.9149,            0.009208,            0.009208,            0.009208
                  10,              2.7003,              3.3541,              3.2309,            0.020478,             0.14579,            0.014328,           0.0046526,              2.6911,              11.146,              3.6388,            0.009109,            0.009109,            0.009109
                  11,              2.6506,              3.3021,              3.1443,             0.19304,             0.29263,              0.1068,            0.036466,              2.4617,              3.2261,              3.0917,             0.00901,             0.00901,             0.00901
                  12,              2.5845,              3.2549,              3.0721,              0.2043,             0.28421,             0.11083,            0.040918,               2.322,              3.1853,              2.9418,            0.008911,            0.008911,            0.008911
                  13,               2.506,              3.2518,              3.0128,            0.043467,             0.30053,            0.020917,           0.0068663,              2.6214,              4.8712,               3.587,            0.008812,            0.008812,            0.008812
                  14,              2.4623,              3.1523,              2.9546,            0.023375,             0.32789,            0.013955,           0.0047573,              2.6198,              22.558,              5.1081,            0.008713,            0.008713,            0.008713
                  15,              2.4271,              3.1078,              2.9132,             0.10292,             0.26263,            0.042941,            0.015439,              2.6334,              4.0364,              3.7612,            0.008614,            0.008614,            0.008614
                  16,              2.3645,              3.0196,              2.8193,            0.063076,             0.30053,            0.033029,               0.013,              2.4179,              3.9942,              3.5019,            0.008515,            0.008515,            0.008515
                  17,              2.3285,              2.9495,              2.7761,             0.41333,                0.26,             0.22379,            0.092932,              2.1413,              2.7841,              2.7502,            0.008416,            0.008416,            0.008416
                  18,              2.2777,              2.8768,              2.7149,            0.076029,             0.35263,            0.040677,            0.016415,               2.232,              5.3455,              2.9498,            0.008317,            0.008317,            0.008317
                  19,              2.2248,              2.8359,              2.6827,             0.22886,             0.30694,             0.11993,            0.048228,              2.1452,              3.3136,              2.7467,            0.008218,            0.008218,            0.008218
                  20,               2.179,              2.8387,              2.6267,             0.28042,                 0.3,             0.16782,            0.073969,              2.1336,              2.6985,              2.7381,            0.008119,            0.008119,            0.008119
                  21,              2.2031,              2.8035,              2.6412,             0.36903,             0.31105,             0.22981,            0.096445,              1.9656,              2.6596,              2.5603,             0.00802,             0.00802,             0.00802
                  22,              2.1665,              2.7653,              2.5887,             0.41647,             0.31895,             0.24444,             0.10298,              2.1011,              2.9299,              2.7289,            0.007921,            0.007921,            0.007921
                  23,              2.1133,              2.7515,              2.5771,             0.45932,             0.34895,             0.28961,             0.12981,              1.9688,               2.693,              2.5934,            0.007822,            0.007822,            0.007822
                  24,              2.1317,              2.6801,              2.5666,             0.40738,             0.29316,             0.23475,             0.10316,              1.9896,              2.5723,              2.6068,            0.007723,            0.007723,            0.007723
                  25,              2.1022,              2.6598,              2.5426,             0.48977,             0.34579,             0.29939,             0.13773,              1.9852,               2.708,              2.5939,            0.007624,            0.007624,            0.007624
