               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.1955,              5.5371,              4.3111,           0.0018838,            0.074695,           0.0012407,          0.00029237,              2.5186,                 inf,              7.6864,            0.070008,           0.0033325,           0.0033325
                   1,               2.594,              4.1605,               3.505,              0.4204,             0.50818,             0.46914,             0.30558,              1.4413,              2.2377,              2.5592,            0.039876,           0.0065338,           0.0065338
                   2,              1.5577,                2.12,              2.1165,             0.87605,             0.79336,             0.84784,             0.65756,              0.9062,             0.94819,              1.6923,           0.0096116,           0.0096032,           0.0096032
                   3,              1.2823,              1.5407,              1.7978,             0.89897,             0.81876,             0.86006,             0.68714,             0.83979,             0.78191,              1.5801,            0.009406,            0.009406,            0.009406
                   4,               1.164,              1.2725,              1.6651,             0.94555,             0.84948,             0.86381,               0.705,             0.80497,             0.65668,              1.5438,            0.009406,            0.009406,            0.009406
                   5,                1.11,              1.1428,              1.6118,             0.96941,             0.86406,             0.88462,             0.71233,             0.78378,             0.59062,              1.5187,            0.009208,            0.009208,            0.009208
                   6,              1.0588,              1.0226,              1.5716,             0.95776,             0.86712,             0.91701,             0.74413,             0.77908,             0.52745,              1.4888,             0.00901,             0.00901,             0.00901
                   7,              1.0333,             0.95075,              1.5415,             0.96824,             0.86887,              0.8718,             0.71352,             0.78273,             0.51562,              1.5105,            0.008812,            0.008812,            0.008812
                   8,              1.0078,             0.88485,              1.5221,             0.93027,             0.89731,             0.91576,             0.75466,             0.76048,             0.47505,              1.4696,            0.008614,            0.008614,            0.008614
                   9,             0.99453,             0.86842,              1.5099,             0.92814,             0.94109,             0.93203,             0.77059,             0.75321,             0.45449,              1.4872,            0.008416,            0.008416,            0.008416
                  10,             0.97299,             0.82002,               1.499,             0.85535,             0.87166,             0.87911,             0.72781,             0.74085,             0.44413,              1.4663,            0.008218,            0.008218,            0.008218
                  11,               0.961,             0.79442,              1.4866,             0.90004,              0.9198,             0.89142,             0.74291,             0.74097,             0.42101,              1.4829,             0.00802,             0.00802,             0.00802
                  12,             0.94693,             0.76507,              1.4726,              0.8899,             0.91617,               0.923,             0.76995,             0.72553,             0.40553,              1.4459,            0.007822,            0.007822,            0.007822
                  13,              0.9356,             0.75084,              1.4726,             0.85932,             0.93655,             0.88954,             0.73919,             0.72182,             0.40874,              1.4476,            0.007624,            0.007624,            0.007624
                  14,             0.93212,              0.7376,              1.4668,             0.96786,             0.91731,             0.91884,             0.77192,               0.706,              0.3939,              1.4351,            0.007426,            0.007426,            0.007426
                  15,             0.91838,             0.71233,              1.4486,             0.88159,             0.91887,             0.88172,             0.74242,             0.71656,             0.40525,              1.4418,            0.007228,            0.007228,            0.007228
                  16,             0.91552,             0.70247,              1.4396,             0.96979,             0.94286,             0.96677,             0.78708,             0.70934,             0.38098,              1.4373,             0.00703,             0.00703,             0.00703
                  17,             0.90284,             0.68672,               1.439,             0.94411,              0.9631,              0.9399,             0.78275,             0.69656,             0.38175,              1.4338,            0.006832,            0.006832,            0.006832
                  18,             0.89652,             0.67537,              1.4319,             0.93205,             0.91754,             0.90783,             0.77116,             0.69179,             0.36661,              1.4161,            0.006634,            0.006634,            0.006634
